SO_term	SO_accession	impact	rank	tier	feature_SO_term	predicate
transcript_ablation	SO:0001893	HIGH	1	1	mRNA	feature_ablation
splice_acceptor_variant	SO:0001574	HIGH	2	3	primary_transcript	acceptor_splice_site
splice_donor_variant	SO:0001575	HIGH	3	3	primary_transcript	donor_splice_site
stop_gained	SO:0001587	HIGH	4	3	mRNA	stop_gained
frameshift_variant	SO:0001589	HIGH	5	3	mRNA	frameshift
stop_lost	SO:0001578	HIGH	6	3	mRNA	stop_lost
start_lost	SO:0002012	HIGH	7	3	mRNA	start_lost
transcript_amplification	SO:0001889	HIGH	8	1	mRNA	feature_amplification
feature_elongation	SO:0001907	HIGH	9	3	sequence_feature	feature_elongation
feature_truncation	SO:0001906	HIGH	10	3	sequence_feature	feature_truncation
inframe_insertion	SO:0001821	MODERATE	11	3	mRNA	inframe_insertion
inframe_deletion	SO:0001822	MODERATE	12	3	mRNA	inframe_deletion
missense_variant	SO:0001583	MODERATE	13	3	mRNA	missense_variant
protein_altering_variant	SO:0001818	MODERATE	14	3	mRNA	protein_altering_variant
splice_donor_5th_base_variant	SO:0001787	LOW	15	3	primary_transcript	splice_donor_5th_base_variant
splice_region_variant	SO:0001630	LOW	16	3	primary_transcript	splice_region
splice_donor_region_variant	SO:0002170	LOW	17	3	primary_transcript	splice_donor_region_variant
splice_polypyrimidine_tract_variant	SO:0002169	LOW	18	3	primary_transcript	splice_polypyrimidine_tract_variant
incomplete_terminal_codon_variant	SO:0001626	LOW	19	3	mRNA	partial_codon
start_retained_variant	SO:0002019	LOW	20	3	mRNA	start_retained_variant
stop_retained_variant	SO:0001567	LOW	21	3	mRNA	stop_retained
synonymous_variant	SO:0001819	LOW	22	3	mRNA	synonymous_variant
coding_sequence_variant	SO:0001580	MODIFIER	23	3	mRNA	coding_unknown
mature_miRNA_variant	SO:0001620	MODIFIER	24	2	miRNA	within_mature_miRNA
5_prime_UTR_variant	SO:0001623	MODIFIER	25	3	mRNA	within_5_prime_utr
3_prime_UTR_variant	SO:0001624	MODIFIER	26	3	mRNA	within_3_prime_utr
non_coding_transcript_exon_variant	SO:0001792	MODIFIER	27	3	ncRNA	non_coding_exon_variant
intron_variant	SO:0001627	MODIFIER	28	3	primary_transcript	within_intron
NMD_transcript_variant	SO:0001621	MODIFIER	29	3	mRNA	within_nmd_transcript
non_coding_transcript_variant	SO:0001619	MODIFIER	30	3	ncRNA	within_non_coding_gene
coding_transcript_variant	SO:0001968	MODIFIER	31	3	mRNA	coding_transcript_variant
upstream_gene_variant	SO:0001631	MODIFIER	32	3	transcript	upstream
downstream_gene_variant	SO:0001632	MODIFIER	33	3	transcript	downstream
TFBS_ablation	SO:0001895	MODERATE	34	2	TF_binding_site	feature_ablation
TFBS_amplification	SO:0001892	MODIFIER	35	2	TF_binding_site	feature_amplification
TF_binding_site_variant	SO:0001782	MODIFIER	36	2	TF_binding_site	within_motif_feature
regulatory_region_ablation	SO:0001894	MODIFIER	37	2	TF_binding_site	feature_ablation
regulatory_region_amplification	SO:0001891	MODIFIER	38	2	TF_binding_site	feature_amplification
regulatory_region_variant	SO:0001566	MODIFIER	39	2	regulatory_region	within_regulatory_feature
intergenic_variant	SO:0001628	MODIFIER	40	4		
sequence_variant	SO:0001060	MODIFIER	41	4		
