consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
5_prime_UTR_variant&start_lost,del,->50,3,0,3,0,3,1.00e+00
transcript_ablation,del,->50,2,0,2,0,2,1.00e+00
3_prime_UTR_variant&stop_retained_variant,del,-11..50,2,0,2,0,2,1.00e+00
coding_sequence_variant&inframe_insertion,ins,+4..10,2,0,2,0,2,1.00e+00
synonymous_variant,snv,0,115363,115362,1,115359,4,3.49e-04
3_prime_UTR_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant&stop_retained_variant,del,->50,19,18,1,0,19,8.98e-01
NMD_transcript_variant&stop_retained_variant,del,-1,1,0,1,0,1,1.00e+00
frameshift_variant&stop_lost,del,-1,1,0,1,0,1,1.00e+00
missense_variant,snv,0,338065,338065,0,338064,1,1.09e-05
downstream_gene_variant,snv,0,170610,170610,0,170610,0,2.16e-05
intron_variant,snv,0,113899,113899,0,113899,0,3.24e-05
upstream_gene_variant,snv,0,109610,109610,0,109610,0,3.37e-05
3_prime_UTR_variant&NMD_transcript_variant,snv,0,96922,96922,0,96922,0,3.81e-05
non_coding_transcript_exon_variant,snv,0,58602,58602,0,58602,0,6.29e-05
NMD_transcript_variant&missense_variant,snv,0,51194,51194,0,51194,0,7.21e-05
intron_variant&non_coding_transcript_variant,snv,0,41714,41714,0,41714,0,8.84e-05
NMD_transcript_variant&intron_variant,snv,0,41157,41157,0,41157,0,8.96e-05
NMD_transcript_variant&synonymous_variant,snv,0,19116,19116,0,19115,1,1.93e-04
3_prime_UTR_variant,snv,0,17835,17835,0,17835,0,2.07e-04
intron_variant&splice_polypyrimidine_tract_variant,snv,0,16913,16913,0,16913,0,2.18e-04
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,snv,0,15570,15570,0,15570,0,2.37e-04
stop_gained,snv,0,13315,13315,0,13315,0,2.77e-04
missense_variant&splice_region_variant,snv,0,12959,12959,0,12959,0,2.85e-04
frameshift_variant,del,-1,10082,10082,0,10082,0,3.66e-04
splice_donor_variant,snv,0,9132,9132,0,9132,0,4.04e-04
splice_acceptor_variant,snv,0,7455,7455,0,7455,0,4.95e-04
5_prime_UTR_variant,snv,0,7437,7437,0,7437,0,4.96e-04
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,snv,0,6950,6950,0,6950,0,5.31e-04
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,snv,0,6307,6307,0,6307,0,5.85e-04
intron_variant&splice_donor_region_variant,snv,0,5976,5976,0,5976,0,6.17e-04
frameshift_variant,ins,+1,5107,5107,0,5107,0,7.22e-04
splice_region_variant&synonymous_variant,snv,0,4323,4323,0,4323,0,8.53e-04
