date,engine,so_term,impact,pairs,discordant,per100k
2026-06-17,duckvep,inframe_insertion,MODERATE,1806,44,2436.0
2026-06-17,duckvep,splice_region_variant,MODERATE,15770,41,260.0
2026-06-17,duckvep,intron_variant,HIGH,1696,40,2358.0
2026-06-17,duckvep,splice_donor_variant,HIGH,16028,39,243.0
2026-06-17,duckvep,splice_donor_region_variant,HIGH,326,39,11963.0
2026-06-17,duckvep,stop_retained_variant,LOW,90,29,32222.0
2026-06-17,duckvep,NMD_transcript_variant,MODERATE,53652,20,37.0
2026-06-17,duckvep,NMD_transcript_variant,HIGH,14954,14,94.0
2026-06-17,duckvep,stop_lost,HIGH,405,7,1728.0
2026-06-17,duckvep,start_lost,HIGH,888,7,788.0
2026-06-17,duckvep,5_prime_UTR_variant,HIGH,175,5,2857.0
2026-06-17,duckvep,3_prime_UTR_variant,LOW,4275,2,47.0
2026-06-17,duckvep,intron_variant,LOW,78075,1,1.0
2026-06-17,duckvep,coding_sequence_variant,LOW,30,1,3333.0
2026-06-17,duckvep,3_prime_UTR_variant,HIGH,363,1,275.0
2026-06-17,duckvep,NMD_transcript_variant,LOW,44528,1,2.0
2026-06-17,duckvep,stop_retained_variant,HIGH,37,1,2703.0
2026-06-17,duckvep,splice_acceptor_variant,HIGH,12150,1,8.0
2026-06-17,duckvep,incomplete_terminal_codon_variant,LOW,30,1,3333.0
2026-06-17,duckvep,splice_polypyrimidine_tract_variant,LOW,57950,1,2.0
2026-06-17,duckvep,frameshift_variant,HIGH,31901,1,3.0
2026-06-17,duckvep,coding_sequence_variant,HIGH,1377,0,0.0
2026-06-17,duckvep,splice_region_variant,HIGH,1805,0,0.0
2026-06-17,duckvep,non_coding_transcript_exon_variant,HIGH,145,0,0.0
2026-06-17,duckvep,missense_variant,MODERATE,408755,0,0.0
2026-06-17,duckvep,splice_polypyrimidine_tract_variant,HIGH,158,0,0.0
2026-06-17,duckvep,inframe_insertion,HIGH,25,0,0.0
2026-06-17,duckvep,synonymous_variant,LOW,138320,0,0.0
2026-06-17,duckvep,splice_donor_region_variant,LOW,7829,0,0.0
2026-06-17,duckvep,intron_variant,MODIFIER,217122,0,0.0
2026-06-17,duckvep,non_coding_transcript_exon_variant,MODIFIER,63843,0,0.0
2026-06-17,duckvep,non_coding_transcript_variant,HIGH,1860,0,0.0
2026-06-17,duckvep,upstream_gene_variant,MODIFIER,118807,0,0.0
2026-06-17,duckvep,stop_gained,HIGH,17777,0,0.0
2026-06-17,duckvep,splice_donor_5th_base_variant,HIGH,837,0,0.0
2026-06-17,duckvep,NMD_transcript_variant,MODIFIER,152239,0,0.0
2026-06-17,duckvep,3_prime_UTR_variant,MODIFIER,125732,0,0.0
2026-06-17,duckvep,splice_region_variant,LOW,46677,0,0.0
2026-06-17,duckvep,splice_donor_5th_base_variant,LOW,4359,0,0.0
2026-06-17,duckvep,coding_sequence_variant,MODIFIER,43,0,0.0
2026-06-17,duckvep,protein_altering_variant,HIGH,22,0,0.0
2026-06-17,duckvep,5_prime_UTR_variant,LOW,435,0,0.0
2026-06-17,duckvep,protein_altering_variant,MODERATE,284,0,0.0
2026-06-17,duckvep,non_coding_transcript_variant,LOW,6619,0,0.0
2026-06-17,duckvep,inframe_deletion,MODERATE,3390,0,0.0
2026-06-17,duckvep,5_prime_UTR_variant,MODIFIER,10267,0,0.0
2026-06-17,duckvep,downstream_gene_variant,MODIFIER,186635,0,0.0
2026-06-17,duckvep,non_coding_transcript_exon_variant,LOW,2300,0,0.0
2026-06-17,duckvep,non_coding_transcript_variant,MODIFIER,46773,0,0.0
2026-06-17,fastvep,intron_variant,HIGH,1696,1696,100000.0
2026-06-17,fastvep,intron_variant,LOW,78075,1451,1858.0
2026-06-17,fastvep,splice_donor_variant,HIGH,16028,1328,8286.0
2026-06-17,fastvep,coding_sequence_variant,HIGH,1377,1195,86783.0
2026-06-17,fastvep,splice_acceptor_variant,HIGH,12150,841,6922.0
2026-06-17,fastvep,splice_donor_5th_base_variant,HIGH,837,837,100000.0
2026-06-17,fastvep,NMD_transcript_variant,HIGH,14954,666,4454.0
2026-06-17,fastvep,splice_polypyrimidine_tract_variant,LOW,57950,623,1075.0
2026-06-17,fastvep,splice_region_variant,LOW,46677,582,1247.0
2026-06-17,fastvep,frameshift_variant,HIGH,31901,537,1683.0
2026-06-17,fastvep,stop_gained,HIGH,17777,484,2723.0
2026-06-17,fastvep,NMD_transcript_variant,LOW,44528,399,896.0
2026-06-17,fastvep,splice_donor_region_variant,HIGH,326,326,100000.0
2026-06-17,fastvep,missense_variant,MODERATE,408739,312,76.0
2026-06-17,fastvep,3_prime_UTR_variant,HIGH,363,303,83471.0
2026-06-17,fastvep,splice_donor_5th_base_variant,LOW,4359,303,6951.0
2026-06-17,fastvep,protein_altering_variant,MODERATE,284,284,100000.0
2026-06-17,fastvep,splice_donor_region_variant,LOW,7829,217,2772.0
2026-06-17,fastvep,splice_region_variant,HIGH,1805,169,9363.0
2026-06-17,fastvep,5_prime_UTR_variant,HIGH,175,161,92000.0
2026-06-17,fastvep,splice_polypyrimidine_tract_variant,HIGH,158,158,100000.0
2026-06-17,fastvep,non_coding_transcript_variant,LOW,6619,145,2191.0
2026-06-17,fastvep,non_coding_transcript_exon_variant,HIGH,145,130,89655.0
2026-06-17,fastvep,start_lost,HIGH,888,111,12500.0
2026-06-17,fastvep,splice_region_variant,MODERATE,15770,98,621.0
2026-06-17,fastvep,stop_lost,HIGH,405,71,17531.0
2026-06-17,fastvep,NMD_transcript_variant,MODERATE,53644,62,116.0
2026-06-17,fastvep,coding_sequence_variant,MODIFIER,43,43,100000.0
2026-06-17,fastvep,stop_retained_variant,LOW,90,42,46667.0
2026-06-17,fastvep,stop_retained_variant,HIGH,37,37,100000.0
2026-06-17,fastvep,NMD_transcript_variant,MODIFIER,152238,36,24.0
2026-06-17,fastvep,incomplete_terminal_codon_variant,LOW,30,30,100000.0
2026-06-17,fastvep,coding_sequence_variant,LOW,30,30,100000.0
2026-06-17,fastvep,3_prime_UTR_variant,LOW,4275,26,608.0
2026-06-17,fastvep,inframe_insertion,HIGH,25,25,100000.0
2026-06-17,fastvep,protein_altering_variant,HIGH,22,22,100000.0
2026-06-17,fastvep,non_coding_transcript_variant,HIGH,1860,21,1129.0
2026-06-17,fastvep,5_prime_UTR_variant,MODIFIER,10263,20,195.0
2026-06-17,fastvep,non_coding_transcript_exon_variant,LOW,2300,16,696.0
2026-06-17,fastvep,3_prime_UTR_variant,MODIFIER,125731,7,6.0
2026-06-17,fastvep,inframe_insertion,MODERATE,1806,5,277.0
2026-06-17,fastvep,intron_variant,MODIFIER,217117,4,2.0
2026-06-17,fastvep,synonymous_variant,LOW,138319,4,3.0
2026-06-17,fastvep,non_coding_transcript_exon_variant,MODIFIER,63841,2,3.0
2026-06-17,fastvep,5_prime_UTR_variant,LOW,435,1,230.0
2026-06-17,fastvep,non_coding_transcript_variant,MODIFIER,46769,0,0.0
2026-06-17,fastvep,upstream_gene_variant,MODIFIER,118803,0,0.0
2026-06-17,fastvep,inframe_deletion,MODERATE,3390,0,0.0
2026-06-17,fastvep,downstream_gene_variant,MODIFIER,186635,0,0.0
