date,impact,vep_calls,duckvep_calls,duckvep_specific_regression,n
2026-06-17,LOW,stop_retained_variant,stop_lost,false,28
2026-06-17,HIGH,NMD_transcript_variant&frameshift_variant&stop_gained,NMD_transcript_variant&frameshift_variant&intron_variant&splice_acceptor_variant&stop_gained,false,28
2026-06-17,HIGH,frameshift_variant,frameshift_variant&splice_region_variant,true,21
2026-06-17,MODERATE,NMD_transcript_variant&inframe_insertion&splice_region_variant,NMD_transcript_variant&protein_altering_variant&splice_region_variant,true,20
2026-06-17,MODERATE,inframe_insertion&splice_region_variant,protein_altering_variant&splice_region_variant,true,19
2026-06-17,HIGH,frameshift_variant&stop_gained,frameshift_variant&intron_variant&splice_acceptor_variant&stop_gained,false,16
2026-06-17,HIGH,protein_altering_variant&stop_gained,protein_altering_variant&splice_region_variant&stop_gained,false,12
2026-06-17,MODIFIER,5_prime_UTR_variant&NMD_transcript_variant,5_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant,true,10
2026-06-17,MODIFIER,5_prime_UTR_variant,5_prime_UTR_variant&intron_variant&splice_acceptor_variant,true,9
2026-06-17,MODIFIER,non_coding_transcript_exon_variant,intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant,true,7
2026-06-17,HIGH,NMD_transcript_variant&stop_lost,NMD_transcript_variant&inframe_deletion&stop_lost,false,6
2026-06-17,MODERATE,protein_altering_variant,intron_variant&protein_altering_variant&splice_donor_5th_base_variant&splice_donor_variant,false,5
2026-06-17,MODERATE,inframe_insertion&stop_retained_variant,inframe_insertion&stop_gained,false,3
2026-06-17,MODIFIER,3_prime_UTR_variant&NMD_transcript_variant,3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant,true,2
2026-06-17,HIGH,5_prime_UTR_variant&start_lost,5_prime_UTR_variant&coding_sequence_variant,false,2
2026-06-17,HIGH,5_prime_UTR_variant&NMD_transcript_variant&start_lost&start_retained_variant,5_prime_UTR_variant&NMD_transcript_variant&start_lost,false,2
2026-06-17,MODIFIER,non_coding_transcript_exon_variant,intron_variant&non_coding_transcript_exon_variant&splice_donor_5th_base_variant&splice_donor_variant,true,2
2026-06-17,HIGH,transcript_ablation,intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,false,2
2026-06-17,HIGH,NMD_transcript_variant&protein_altering_variant&stop_gained,NMD_transcript_variant&protein_altering_variant&splice_region_variant&stop_gained,false,2
2026-06-17,MODERATE,inframe_insertion&splice_region_variant&stop_retained_variant,inframe_insertion&splice_region_variant&stop_gained,false,2
2026-06-17,HIGH,3_prime_UTR_variant&intron_variant&splice_acceptor_variant&stop_retained_variant,3_prime_UTR_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant,false,1
2026-06-17,HIGH,NMD_transcript_variant&frameshift_variant,NMD_transcript_variant&frameshift_variant&splice_region_variant,true,1
2026-06-17,HIGH,inframe_deletion&start_lost&start_retained_variant,coding_sequence_variant,false,1
2026-06-17,MODERATE,NMD_transcript_variant&protein_altering_variant,NMD_transcript_variant&intron_variant&protein_altering_variant&splice_donor_5th_base_variant&splice_donor_variant,false,1
2026-06-17,HIGH,5_prime_UTR_variant&start_lost&start_retained_variant,5_prime_UTR_variant&start_lost,false,1
2026-06-17,MODIFIER,3_prime_UTR_variant&NMD_transcript_variant,3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,true,1
2026-06-17,LOW,NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,false,1
2026-06-17,HIGH,transcript_ablation,3_prime_UTR_variant&5_prime_UTR_variant&coding_sequence_variant,false,1
2026-06-17,LOW,3_prime_UTR_variant&coding_sequence_variant&incomplete_terminal_codon_variant,3_prime_UTR_variant&coding_sequence_variant,false,1
2026-06-17,HIGH,start_lost&start_retained_variant,start_lost,false,1
2026-06-17,HIGH,frameshift_variant&stop_lost,frameshift_variant,false,1
2026-06-17,LOW,3_prime_UTR_variant&stop_retained_variant,3_prime_UTR_variant&coding_sequence_variant,false,1
