date,engine,impact,class,n_variants,pairs,agree,pct
2026-06-14,duckvep,HIGH,del,50000,23414,20987,89.6344
2026-06-14,duckvep,HIGH,ins,50000,10054,9157,91.0782
2026-06-14,duckvep,HIGH,mnv,50000,210,34,16.1905
2026-06-14,duckvep,HIGH,snv,50000,43294,43293,99.9977
2026-06-14,duckvep,LOW,del,50000,7456,6207,83.2484
2026-06-14,duckvep,LOW,ins,50000,3583,2474,69.0483
2026-06-14,duckvep,LOW,mnv,50000,363,343,94.4904
2026-06-14,duckvep,LOW,snv,50000,214055,214050,99.9977
2026-06-14,duckvep,MODERATE,del,50000,5022,4860,96.7742
2026-06-14,duckvep,MODERATE,ins,50000,1754,1723,98.2326
2026-06-14,duckvep,MODERATE,mnv,50000,1586,1209,76.2295
2026-06-14,duckvep,MODERATE,snv,50000,403438,403437,99.9998
2026-06-14,duckvep,MODIFIER,del,50000,35704,35469,99.3418
2026-06-14,duckvep,MODIFIER,ins,50000,18010,17905,99.417
2026-06-14,duckvep,MODIFIER,mnv,50000,2073,2073,100.0
2026-06-14,duckvep,MODIFIER,snv,50000,654709,654703,99.9991
2026-06-14,fastvep,HIGH,del,50000,729,424,58.1619
2026-06-14,fastvep,HIGH,ins,50000,496,278,56.0484
2026-06-14,fastvep,HIGH,mnv,50000,210,34,16.1905
2026-06-14,fastvep,HIGH,snv,50000,43294,43294,100.0
2026-06-14,fastvep,LOW,del,50000,38,37,97.3684
2026-06-14,fastvep,LOW,ins,50000,1,1,100.0
2026-06-14,fastvep,LOW,mnv,50000,363,272,74.9311
2026-06-14,fastvep,LOW,snv,50000,214055,214022,99.9846
2026-06-14,fastvep,MODERATE,del,50000,101,0,0.0
2026-06-14,fastvep,MODERATE,mnv,50000,1586,1204,75.9142
2026-06-14,fastvep,MODERATE,snv,50000,403438,403419,99.9953
2026-06-14,fastvep,MODIFIER,del,50000,623,618,99.1974
2026-06-14,fastvep,MODIFIER,ins,50000,299,298,99.6656
2026-06-14,fastvep,MODIFIER,mnv,50000,2073,2073,100.0
2026-06-14,fastvep,MODIFIER,snv,50000,654709,654689,99.9969
2026-06-14,duckvep,HIGH,del,3000,1442,1431,99.2372
2026-06-14,duckvep,HIGH,ins,3000,535,469,87.6636
2026-06-14,duckvep,HIGH,mnv,3000,30,18,60.0
2026-06-14,duckvep,HIGH,snv,3000,2705,2704,99.963
2026-06-14,duckvep,LOW,del,3000,198,187,94.4444
2026-06-14,duckvep,LOW,ins,3000,332,268,80.7229
2026-06-14,duckvep,LOW,mnv,3000,1,1,100.0
2026-06-14,duckvep,LOW,snv,3000,12676,12676,100.0
2026-06-14,duckvep,MODERATE,del,3000,361,361,100.0
2026-06-14,duckvep,MODERATE,ins,3000,37,37,100.0
2026-06-14,duckvep,MODERATE,mnv,3000,59,44,74.5763
2026-06-14,duckvep,MODERATE,snv,3000,26052,26051,99.9962
2026-06-14,duckvep,MODIFIER,del,3000,2057,2043,99.3194
2026-06-14,duckvep,MODIFIER,ins,3000,1169,1168,99.9145
2026-06-14,duckvep,MODIFIER,mnv,3000,92,92,100.0
2026-06-14,duckvep,MODIFIER,snv,3000,36768,36768,100.0
2026-06-14,fastvep,HIGH,del,3000,1442,1431,99.2372
2026-06-14,fastvep,HIGH,ins,3000,535,469,87.6636
2026-06-14,fastvep,HIGH,mnv,3000,30,18,60.0
2026-06-14,fastvep,HIGH,snv,3000,2705,2705,100.0
2026-06-14,fastvep,LOW,del,3000,198,157,79.2929
2026-06-14,fastvep,LOW,ins,3000,332,197,59.3373
2026-06-14,fastvep,LOW,mnv,3000,1,1,100.0
2026-06-14,fastvep,LOW,snv,3000,12676,12675,99.9921
2026-06-14,fastvep,MODERATE,del,3000,361,361,100.0
2026-06-14,fastvep,MODERATE,ins,3000,37,37,100.0
2026-06-14,fastvep,MODERATE,mnv,3000,59,44,74.5763
2026-06-14,fastvep,MODERATE,snv,3000,26052,26050,99.9923
2026-06-14,fastvep,MODIFIER,del,3000,2057,2057,100.0
2026-06-14,fastvep,MODIFIER,ins,3000,1169,1169,100.0
2026-06-14,fastvep,MODIFIER,mnv,3000,92,92,100.0
2026-06-14,fastvep,MODIFIER,snv,3000,36768,36767,99.9973
